quiz #,answers,question_prompt,choice_a,choice_b,choice_c,choice_d
quiz1,Amazon EC2 instances can be launched on demand when needed,"Why is AWS more economical than traditional data centers for applications with varying compute
workloads?",Amazon EC2 costs are billed on a monthly basis.,Users retain full administrative access to their Amazon EC2 instances.,Amazon EC2 instances can be launched on demand when needed,Users can permanently run enough instances to handle peak workloads
quiz1,AWS Database Migration Service (AWS DMS),Which AWS service would simplify the migration of a database to AWS?,AWS Storage Gateway,AWS Database Migration Service (AWS DMS),Amazon EC2,Amazon AppStream 2.0
quiz1,AWS Marketplace,"Which AWS offering enables users to find, buy, and immediately start using software solutions in their
AWS environment?
",AWS Config,AWS OpsWorks,AWS SDK,AWS Marketplace
quiz1,Amazon Virtual Private Cloud (Amazon VPC),Which AWS networking service enables a company to create a virtual network within AWS?,AWS Config,Amazon Route 53,AWS Direct Connect,Amazon Virtual Private Cloud (Amazon VPC)
quiz1,Maintaining physical hardware,Which of the following is an AWS responsibility under the AWS shared responsibility model?,Configuring third-party applications,Maintaining physical hardware,Securing application access and data,Managing guest operating systems
quiz1,Edge locations,"Which component of the AWS global infrastructure does Amazon CloudFront use to ensure low-latency
delivery?
",AWS Regions,Edge locations,Availability Zones,Virtual Private Cloud (VPC)
quiz1,Enable multi-factor authentication,"How would a system administrator add an additional layer of login security to a user's AWS
Management Console?",Use Amazon Cloud Directory,Audit AWS Identity and Access Management (IAM) roles,Enable multi-factor authentication,Enable AWS CloudTrai
quiz1,AWS CloudTrail,"Which service can identify the user that made the API call when an Amazon EC2 instance is
terminated?",AWS Trusted Advisor,AWS CloudTrail,AWS X-Ray,AWS Identity and Access Management (AWS IAM)
quiz1,Amazon Simple Notification Service (Amazon SNS),"Which service would be used to send alerts based on Amazon CloudWatch alarms?
",Amazon Simple Notification Service (Amazon SNS),AWS CloudTrail,AWS Trusted Advisor,Amazon Route 53
quiz1,AWS Acceptable Use Policy,Where can a user find information about prohibited actions on the AWS infrastructure?,AWS Trusted Advisor,AWS Identity and Access Management (IAM),AWS Billing Console,AWS Acceptable Use Policy